Vuelta: 0.209670952 segundos;	Tiempo: 0.209673052
Vuelta: 11.95917848 segundos;	Tiempo: 424.578605286
Vuelta: 11.587905087 segundos;	Tiempo: 436.166671415
Vuelta: 11.840850303 segundos;	Tiempo: 448.00763529
Vuelta: 11.849465908 segundos;	Tiempo: 459.857172911
Vuelta: 12.019433524 segundos;	Tiempo: 471.876723194
Vuelta: 12.374665945 segundos;	Tiempo: 484.251458881
Vuelta: 12.447087849 segundos;	Tiempo: 496.698663821
Vuelta: 12.512414128 segundos;	Tiempo: 509.21115234
Vuelta: 12.874310206 segundos;	Tiempo: 522.085536702
Vuelta: 12.960370357 segundos;	Tiempo: 535.046023748
Vuelta: 13.082126426 segundos;	Tiempo: 548.128266985
Vuelta: 13.142659173 segundos;	Tiempo: 561.271059632
Vuelta: 13.352101841 segundos;	Tiempo: 574.623308158
Vuelta: 13.644242615 segundos;	Tiempo: 588.267624536
Vuelta: 13.767259608 segundos;	Tiempo: 602.035003344
Vuelta: 13.879699732 segundos;	Tiempo: 615.915088809
Vuelta: 14.065529904 segundos;	Tiempo: 629.980688369
Vuelta: 14.178482558 segundos;	Tiempo: 644.159245196
Vuelta: 14.340048996 segundos;	Tiempo: 658.499397772
Vuelta: 14.472518131 segundos;	Tiempo: 672.97204874
Vuelta: 14.764864815 segundos;	Tiempo: 687.736986806
Vuelta: 14.777691551 segundos;	Tiempo: 702.514809119
Vuelta: 14.975208592 segundos;	Tiempo: 717.490135455
Vuelta: 15.146271497 segundos;	Tiempo: 732.636480152
Vuelta: 15.46982204 segundos;	Tiempo: 748.106374003
Vuelta: 15.610788886 segundos;	Tiempo: 763.717329005
Vuelta: 15.607894737 segundos;	Tiempo: 779.325352717
Vuelta: 15.821377436 segundos;	Tiempo: 795.146848643
Vuelta: 16.185693269 segundos;	Tiempo: 811.332793558
Vuelta: 16.11371945 segundos;	Tiempo: 827.446580253
Vuelta: 16.391840594 segundos;	Tiempo: 843.838491628
Vuelta: 16.489896825 segundos;	Tiempo: 860.328497145
Vuelta: 0.224351997 segundos;	Tiempo: 0.224353914
Vuelta: 0.365149675 segundos;	Tiempo: 0.592113121
Vuelta: 0.537192916 segundos;	Tiempo: 1.129367205
Vuelta: 0.689051554 segundos;	Tiempo: 1.81855542
Vuelta: 0.855557359 segundos;	Tiempo: 2.674355659
Vuelta: 1.03721246 segundos;	Tiempo: 3.71176296
Vuelta: 1.23866634 segundos;	Tiempo: 4.950593875
Vuelta: 1.434684456 segundos;	Tiempo: 6.385502566
Vuelta: 1.601472239 segundos;	Tiempo: 7.987141693
Vuelta: 1.82656342 segundos;	Tiempo: 9.813806744
Vuelta: 2.020672587 segundos;	Tiempo: 11.834648374
Vuelta: 2.190786251 segundos;	Tiempo: 14.025627505
Vuelta: 2.289767857 segundos;	Tiempo: 16.315543341
Vuelta: 2.451341051 segundos;	Tiempo: 18.766981447
Vuelta: 2.632176532 segundos;	Tiempo: 21.399338796
Vuelta: 2.805746593 segundos;	Tiempo: 24.205182405
Vuelta: 2.948567847 segundos;	Tiempo: 27.153917322
Vuelta: 3.14182111 segundos;	Tiempo: 30.295836373
Vuelta: 3.372879068 segundos;	Tiempo: 33.668844982
Vuelta: 3.504515474 segundos;	Tiempo: 37.173521226
Vuelta: 3.665492909 segundos;	Tiempo: 40.839108111
Vuelta: 3.804608084 segundos;	Tiempo: 44.643805609
Vuelta: 3.96841492 segundos;	Tiempo: 48.612327606
Vuelta: 4.231213149 segundos;	Tiempo: 52.843627556
Vuelta: 4.409238856 segundos;	Tiempo: 57.252950863
Vuelta: 4.451347408 segundos;	Tiempo: 61.704459801
Vuelta: 4.778995352 segundos;	Tiempo: 66.483596603
Vuelta: 4.998739091 segundos;	Tiempo: 71.482476834
Vuelta: 5.044298074 segundos;	Tiempo: 76.526879782
Vuelta: 5.146994023 segundos;	Tiempo: 81.674016001
Vuelta: 5.292754639 segundos;	Tiempo: 86.967067411
Vuelta: 5.511537891 segundos;	Tiempo: 92.478693237
Vuelta: 5.692682471 segundos;	Tiempo: 98.171637994
Vuelta: 5.883489788 segundos;	Tiempo: 104.055209504
Vuelta: 6.035670031 segundos;	Tiempo: 110.090961085
Vuelta: 6.241551499 segundos;	Tiempo: 116.332594958
Vuelta: 6.422500433 segundos;	Tiempo: 122.755179427
Vuelta: 6.587255258 segundos;	Tiempo: 129.342742938
Vuelta: 6.73816914 segundos;	Tiempo: 136.081004107
Vuelta: 6.796165738 segundos;	Tiempo: 142.877295008
Vuelta: 7.006770332 segundos;	Tiempo: 149.884146684
Vuelta: 7.240844174 segundos;	Tiempo: 157.12515051
Vuelta: 7.393097326 segundos;	Tiempo: 164.518329639
Vuelta: 7.574642078 segundos;	Tiempo: 172.093095611
Vuelta: 7.694797023 segundos;	Tiempo: 179.788011748
Vuelta: 8.009536167 segundos;	Tiempo: 187.797678814
Vuelta: 8.062849977 segundos;	Tiempo: 195.860675429
Vuelta: 8.177132221 segundos;	Tiempo: 204.03794238
Vuelta: 8.461967296 segundos;	Tiempo: 212.500095966
Vuelta: 8.692414438 segundos;	Tiempo: 221.192602617
Vuelta: 8.696637938 segundos;	Tiempo: 229.889322904
Vuelta: 8.897056857 segundos;	Tiempo: 238.786498452
Vuelta: 9.441058187 segundos;	Tiempo: 248.227635408
Vuelta: 9.282727537 segundos;	Tiempo: 257.510487899
Vuelta: 9.452541244 segundos;	Tiempo: 266.963107603
Vuelta: 9.619694878 segundos;	Tiempo: 276.582998931
Vuelta: 9.667781905 segundos;	Tiempo: 286.250916971
Vuelta: 9.844364223 segundos;	Tiempo: 296.095390617
Vuelta: 10.062110106 segundos;	Tiempo: 306.157622216
Vuelta: 10.093413166 segundos;	Tiempo: 316.251114536
Vuelta: 10.360825885 segundos;	Tiempo: 326.612074099
Vuelta: 10.285556149 segundos;	Tiempo: 336.897755758
Vuelta: 10.759163169 segundos;	Tiempo: 347.657037058
Vuelta: 10.935447875 segundos;	Tiempo: 358.592591644
Vuelta: 11.022328048 segundos;	Tiempo: 369.615283524
Vuelta: 11.190640705 segundos;	Tiempo: 380.806011776
Vuelta: 11.507842802 segundos;	Tiempo: 392.313971458
Vuelta: 11.480739043 segundos;	Tiempo: 403.794826011
Vuelta: 11.685223247 segundos;	Tiempo: 415.480165422
Vuelta: 11.979659879 segundos;	Tiempo: 427.45990098
Vuelta: 12.182283612 segundos;	Tiempo: 439.642300569
Vuelta: 12.147075564 segundos;	Tiempo: 451.789469973
Vuelta: 12.377831996 segundos;	Tiempo: 464.167418198
Vuelta: 12.574948876 segundos;	Tiempo: 476.742440959
Vuelta: 12.660768899 segundos;	Tiempo: 489.403327107
Vuelta: 12.966871643 segundos;	Tiempo: 502.370357479
Vuelta: 13.046795667 segundos;	Tiempo: 515.417266835
Vuelta: 13.304924668 segundos;	Tiempo: 528.722268317
Vuelta: 13.336857069 segundos;	Tiempo: 542.059286053
Vuelta: 13.488482421 segundos;	Tiempo: 555.54784289
Vuelta: 13.650358655 segundos;	Tiempo: 569.198278434
Vuelta: 13.898296939 segundos;	Tiempo: 583.096648144
Vuelta: 14.072110742 segundos;	Tiempo: 597.168833166
Vuelta: 14.207598502 segundos;	Tiempo: 611.376505124
Vuelta: 14.393893945 segundos;	Tiempo: 625.770528489
Vuelta: 14.548925289 segundos;	Tiempo: 640.319530628
Vuelta: 14.678565534 segundos;	Tiempo: 654.998217122
Vuelta: 14.936836789 segundos;	Tiempo: 669.935128679
Vuelta: 14.950801708 segundos;	Tiempo: 684.886002538
Vuelta: 15.270863093 segundos;	Tiempo: 700.156938452
Vuelta: 15.30291557 segundos;	Tiempo: 715.459968168
Vuelta: 15.437501556 segundos;	Tiempo: 730.897585076
Vuelta: 15.601720927 segundos;	Tiempo: 746.499397804
Vuelta: 15.892643628 segundos;	Tiempo: 762.392187404
Vuelta: 15.963561285 segundos;	Tiempo: 778.355872477
Vuelta: 16.138426826 segundos;	Tiempo: 794.494425146
Vuelta: 16.338939929 segundos;	Tiempo: 810.833588329
Vuelta: 16.487783542 segundos;	Tiempo: 827.321442964
Vuelta: 16.549488121 segundos;	Tiempo: 843.871002513
Vuelta: 16.749875557 segundos;	Tiempo: 860.620988421
Vuelta: 0.26417574 segundos;	Tiempo: 0.26417799
Vuelta: 0.304435756 segundos;	Tiempo: 0.574256191
Vuelta: 0.502901017 segundos;	Tiempo: 1.077225628
Vuelta: 0.715186325 segundos;	Tiempo: 1.792474517
Vuelta: 0.860703193 segundos;	Tiempo: 2.65324883
Vuelta: 1.063115446 segundos;	Tiempo: 3.716438026
Vuelta: 1.234716047 segundos;	Tiempo: 4.951218156
Vuelta: 1.488855647 segundos;	Tiempo: 6.440137479
Vuelta: 1.56980227 segundos;	Tiempo: 8.010082857
Vuelta: 1.763339242 segundos;	Tiempo: 9.773528829
Vuelta: 1.952334029 segundos;	Tiempo: 11.725946946
Vuelta: 2.118886564 segundos;	Tiempo: 13.844918386
Vuelta: 2.325004388 segundos;	Tiempo: 16.16998815
Vuelta: 2.506901008 segundos;	Tiempo: 18.676999972
Vuelta: 2.606595331 segundos;	Tiempo: 21.283691536
Vuelta: 2.824544089 segundos;	Tiempo: 24.108300113
Vuelta: 3.096580258 segundos;	Tiempo: 27.205007289
Vuelta: 3.177336185 segundos;	Tiempo: 30.382412224
Vuelta: 3.385001957 segundos;	Tiempo: 33.767477727
Vuelta: 3.799074676 segundos;	Tiempo: 37.566629672
Vuelta: 4.256165401 segundos;	Tiempo: 41.822905588
Vuelta: 4.072423658 segundos;	Tiempo: 45.895464259
Vuelta: 4.000846046 segundos;	Tiempo: 49.896418895
Vuelta: 4.16386036 segundos;	Tiempo: 54.060444355
Vuelta: 4.297454183 segundos;	Tiempo: 58.358025921
Vuelta: 4.5499279 segundos;	Tiempo: 62.908048106
Vuelta: 4.734443481 segundos;	Tiempo: 67.642588835
Vuelta: 5.015364421 segundos;	Tiempo: 72.658128864
Vuelta: 5.073838021 segundos;	Tiempo: 77.732119593
Vuelta: 6.009364872 segundos;	Tiempo: 83.741625125
Vuelta: 5.397713365 segundos;	Tiempo: 89.13949737
Vuelta: 5.521997913 segundos;	Tiempo: 94.661618293
Vuelta: 5.695475393 segundos;	Tiempo: 100.357358272
Vuelta: 5.971558962 segundos;	Tiempo: 106.329075796
Vuelta: 5.991899539 segundos;	Tiempo: 112.321058032
Vuelta: 6.174209562 segundos;	Tiempo: 118.495398772
Vuelta: 6.35991916 segundos;	Tiempo: 124.855398439
Vuelta: 6.484252364 segundos;	Tiempo: 131.339847076
Vuelta: 6.701777772 segundos;	Tiempo: 138.041715688
Vuelta: 6.981371234 segundos;	Tiempo: 145.023168383
Vuelta: 7.041412816 segundos;	Tiempo: 152.064728145
Vuelta: 7.205520701 segundos;	Tiempo: 159.270328293
Vuelta: 7.331047302 segundos;	Tiempo: 166.60145469
Vuelta: 7.476468725 segundos;	Tiempo: 174.078044497
Vuelta: 7.689816615 segundos;	Tiempo: 181.767940499
Vuelta: 7.885286658 segundos;	Tiempo: 189.653464032
Vuelta: 8.04305505 segundos;	Tiempo: 197.696604934
Vuelta: 8.416232194 segundos;	Tiempo: 206.112920649
Vuelta: 8.356659017 segundos;	Tiempo: 214.469847072
Vuelta: 8.575479794 segundos;	Tiempo: 223.045504454
Vuelta: 8.731408872 segundos;	Tiempo: 231.776992705
Vuelta: 8.841874103 segundos;	Tiempo: 240.618944649
Vuelta: 9.071862246 segundos;	Tiempo: 249.690886058
Vuelta: 9.281572787 segundos;	Tiempo: 258.972540359
Vuelta: 9.316218386 segundos;	Tiempo: 268.288836525
Vuelta: 9.537890765 segundos;	Tiempo: 277.826935273
Vuelta: 9.652742008 segundos;	Tiempo: 287.479756319
Vuelta: 9.807157844 segundos;	Tiempo: 297.287154418
Vuelta: 10.091675919 segundos;	Tiempo: 307.378948909
Vuelta: 9.91319182 segundos;	Tiempo: 317.292276825
Vuelta: 10.610815359 segundos;	Tiempo: 327.903212791
Vuelta: 10.492505677 segundos;	Tiempo: 338.395870642
Vuelta: 10.407395617 segundos;	Tiempo: 348.803378688
Vuelta: 10.870769864 segundos;	Tiempo: 359.674225231
Vuelta: 10.880312931 segundos;	Tiempo: 370.554884423
Vuelta: 10.95980791 segundos;	Tiempo: 381.51481999
Vuelta: 12.038561366 segundos;	Tiempo: 393.553465416
Vuelta: 11.537782155 segundos;	Tiempo: 405.091323113
Vuelta: 11.683486803 segundos;	Tiempo: 416.774924968
Vuelta: 11.807446764 segundos;	Tiempo: 428.582448285
Vuelta: 11.989865224 segundos;	Tiempo: 440.572387975
Vuelta: 12.11925879 segundos;	Tiempo: 452.691777612
Vuelta: 12.271983088 segundos;	Tiempo: 464.963875548
Vuelta: 12.443160261 segundos;	Tiempo: 477.40711263
Vuelta: 12.683524334 segundos;	Tiempo: 490.090752484
Vuelta: 13.006404863 segundos;	Tiempo: 503.097284459
Vuelta: 13.594657577 segundos;	Tiempo: 516.692059041
Vuelta: 13.897602584 segundos;	Tiempo: 530.589778191
Vuelta: 13.290198535 segundos;	Tiempo: 543.880106791
Vuelta: 13.452781116 segundos;	Tiempo: 557.332957398
Vuelta: 13.862134548 segundos;	Tiempo: 571.195165244
Vuelta: 13.948211938 segundos;	Tiempo: 585.143447145
Vuelta: 13.813598786 segundos;	Tiempo: 598.957117169
Vuelta: 14.088555167 segundos;	Tiempo: 613.045832537
Vuelta: 14.353889196 segundos;	Tiempo: 627.399798564
Vuelta: 14.538306525 segundos;	Tiempo: 641.938179576
Vuelta: 14.615126759 segundos;	Tiempo: 656.553450429
Vuelta: 14.786730524 segundos;	Tiempo: 671.340356417
Vuelta: 14.951768364 segundos;	Tiempo: 686.292252811
Vuelta: 15.291972202 segundos;	Tiempo: 701.584309582
Vuelta: 15.248802714 segundos;	Tiempo: 716.83320334
Vuelta: 15.460542481 segundos;	Tiempo: 732.293818324
Vuelta: 15.506980514 segundos;	Tiempo: 747.80088579
Vuelta: 15.810368637 segundos;	Tiempo: 763.61146379
Vuelta: 15.904136447 segundos;	Tiempo: 779.515732887
Vuelta: 16.106605067 segundos;	Tiempo: 795.622405866
Vuelta: 16.228894484 segundos;	Tiempo: 811.851450306
Vuelta: 16.600572409 segundos;	Tiempo: 828.452176026
Vuelta: 16.55617021 segundos;	Tiempo: 845.008427772
Vuelta: 16.71957543 segundos;	Tiempo: 861.728109989
